full_name,first_name,last_name,age,team,position,fantasy_positions,depth_chart_position,depth_chart_order,status,number,height,weight,college,years_exp,injury_status,cache_date
Christian Matthew,Christian,Matthew,27.0,BAL,DB,DB,DB,,Inactive,45.0,74,197.0,Valdosta State,2.0,IR,2024-09-17
Lester Cotton,Lester,Cotton,28.0,MIA,G,"OG,OL",OL,,Active,66.0,76,330.0,Alabama,5.0,,2024-09-17
Luke Benson,Luke,Benson,23.0,LAC,TE,TE,,,Active,41.0,76,233.0,Georgia Tech,0.0,,2024-09-17
Andre Lindsey,Andre,Lindsey,,,WR,WR,,,Active,0.0,75,190.0,Sacramento State,3.0,,2024-09-17
Steve Smith,Steve,Smith,41.0,,WR,WR,,,Inactive,89.0,"5'9""",195.0,Utah,19.0,,2024-09-17
Charles Turner,Charles,Turner,23.0,,OL,OL,,,Active,61.0,76,303.0,LSU,0.0,,2024-09-17
Asim Richards,Asim,Richards,23.0,DAL,OL,OL,OL,,Active,76.0,76,307.0,North Carolina,1.0,,2024-09-17
Quinton Coples,Quinton,Coples,30.0,,DE,DL,,,Inactive,98.0,"6'6""",290.0,North Carolina,8.0,,2024-09-17
Joe Walker,Joe,Walker,26.0,,WR,WR,,,Active,0.0,73,201.0,Delaware,3.0,,2024-09-17
Tyler Bass,Tyler,Bass,27.0,BUF,K,K,K,1.0,Active,2.0,70,183.0,Georgia Southern,4.0,,2024-09-17
Derrick Johnson,Derrick,Johnson,,,WR,WR,,,Inactive,13.0,"5'11""",190.0,Maine,0.0,,2024-09-17
C.J. Prosise,C.J.,Prosise,27.0,,RB,RB,,,Active,0.0,73,225.0,Notre Dame,6.0,,2024-09-17
Logan Bruss,Logan,Bruss,24.0,LAR,OL,OL,OL,,Active,60.0,77,317.0,Wisconsin,2.0,,2024-09-17
Terrish Webb,Terrish,Webb,26.0,,FS,DB,,,Active,0.0,71,195.0,Pittsburgh,5.0,,2024-09-17
Cameron Dantzler,Cameron,Dantzler,25.0,,CB,DB,,,Active,11.0,74,188.0,Mississippi State,3.0,,2024-09-17
Demetri Goodson,Demetri,Goodson,32.0,,CB,DB,,,Inactive,0.0,71,197.0,Baylor,8.0,,2024-09-17
Robert Hughes,Robert,Hughes,29.0,,FB,RB,,,Inactive,48.0,"5'11""",235.0,Notre Dame,3.0,,2024-09-17
Malik Davis,Malik,Davis,25.0,DAL,RB,RB,,,Active,34.0,71,202.0,Florida,2.0,,2024-09-17
John Harbaugh,John,Harbaugh,,,,,,,Inactive,0.0,,,,0.0,,2024-09-17
Nick Bellore,Nick,Bellore,35.0,WAS,LB,LB,MLB,2.0,Active,57.0,73,250.0,Central Michigan,13.0,,2024-09-17
Bruce Gradkowski,Bruce,Gradkowski,35.0,,QB,QB,,,Inactive,5.0,"6'1""",220.0,Toledo,11.0,,2024-09-17
Greg Pyke,Greg,Pyke,28.0,,G,OL,,,Active,68.0,78,325.0,Georgia,5.0,,2024-09-17
Brent Qvale,Brent,Qvale,30.0,,OT,"OL,OT",,,Active,0.0,79,315.0,Nebraska,8.0,Questionable,2024-09-17
Nick Ralston,Nick,Ralston,25.0,,RB,RB,,,Active,46.0,72,237.0,Louisiana,1.0,,2024-09-17
Easop Winston,Easop,Winston,27.0,,WR,WR,,,Active,13.0,72,190.0,Washington State,4.0,,2024-09-17
Anthony Walker,Anthony,Walker,29.0,MIA,LB,LB,LILB,2.0,Active,6.0,73,235.0,Northwestern,7.0,,2024-09-17
Junior Aho,Junior,Aho,25.0,,DL,DL,,,Active,92.0,76,272.0,SMU,1.0,Questionable,2024-09-17
Jamarca Sanford,Jamarca,Sanford,35.0,,SS,DB,,,Inactive,33.0,"5'10""",200.0,Mississippi,11.0,,2024-09-17
Anthony Averett,Anthony,Averett,,,DB,DB,,,Active,,72,185.0,Alabama,0.0,,2024-09-17
Mekhi Blackmon,Mekhi,Blackmon,25.0,MIN,CB,DB,DB,,Inactive,5.0,71,178.0,USC,1.0,IR,2024-09-17
Bennie Logan,Bennie,Logan,32.0,,NT,DL,,,Inactive,96.0,74,315.0,Louisiana State,9.0,,2024-09-17
Anthony Firkser,Anthony,Firkser,29.0,NYJ,TE,TE,,,Active,48.0,74,241.0,Harvard,7.0,,2024-09-17
Anthony Hitchens,Anthony,Hitchens,29.0,KC,LB,LB,,,Active,53.0,72,231.0,Iowa,8.0,,2024-09-17
Bubba Bolden,Bubba,Bolden,23.0,,DB,DB,,,Active,36.0,74,200.0,Miami (FL),2.0,Sus,2024-09-17
Garrett Reynolds,Garrett,Reynolds,33.0,,G,OL,,,Inactive,73.0,"6'7""",305.0,North Carolina,11.0,,2024-09-17
Derek Newton,Derek,Newton,34.0,,T,OL,,,Inactive,77.0,78,315.0,Arkansas State,11.0,,2024-09-17
Tegray Scales,Tegray,Scales,26.0,,LB,LB,,,Active,45.0,72,227.0,Indiana,4.0,,2024-09-17
Darryl Morris,Darryl,Morris,30.0,,CB,DB,,,Inactive,23.0,"5'10""",188.0,Texas State,7.0,,2024-09-17
Andrew Gachkar,Andrew,Gachkar,31.0,,LB,LB,,,Inactive,57.0,"6'2""",224.0,Missouri,9.0,,2024-09-17
Chandler Miller,Chandler,Miller,25.0,,C,OL,,,Active,61.0,75,297.0,Tulsa,3.0,,2024-09-17
Cam Taylor-Britt,Cam,Taylor-Britt,24.0,CIN,DB,DB,LCB,1.0,Active,29.0,71,200.0,Nebraska,2.0,,2024-09-17
Brandon Linder,Brandon,Linder,30.0,JAX,OL,OL,,,Active,65.0,78,315.0,Miami (FL),8.0,,2024-09-17
George Johnson,George,Johnson,32.0,,DE,DL,,,Inactive,90.0,"6'4""",265.0,Rutgers,10.0,,2024-09-17
Greg Milhouse,Greg,Milhouse,27.0,,DT,DL,,,Active,60.0,75,295.0,Campbell,6.0,,2024-09-17
Dallas Clark,Dallas,Clark,38.0,,TE,TE,,,Inactive,87.0,"6'3""",252.0,Iowa,11.0,,2024-09-17
Taiwan Deal,Taiwan,Deal,,,RB,RB,,,Inactive,0.0,"6'0""",225.0,Wisconsin,0.0,,2024-09-17
Andy Janovich,Andy,Janovich,29.0,,FB,RB,,,Active,41.0,73,238.0,Nebraska,6.0,,2024-09-17
Malik Harrison,Malik,Harrison,26.0,BAL,LB,LB,RILB,2.0,Active,40.0,75,255.0,Ohio State,4.0,,2024-09-17
Nick Kaltmayer,Nick,Kaltmayer,24.0,,OT,OL,,,Active,79.0,80,311.0,Kansas State,2.0,,2024-09-17
Alex Boone,Alex,Boone,34.0,,OG,"OG,OL",,,Inactive,78.0,80,310.0,Ohio State,13.0,,2024-09-17
Cameron Johnston,Cameron,Johnston,32.0,PIT,P,P,P,,Inactive,5.0,71,194.0,Ohio State,7.0,IR,2024-09-17
Ifo Ekpre-Olomu,Ifo,Ekpre-Olomu,25.0,,CB,DB,,,Inactive,33.0,"5'9""",192.0,Oregon,1.0,,2024-09-17
Matt Smalley,Matt,Smalley,24.0,,CB,DB,,,Inactive,35.0,"5'10""",184.0,Lafayette,0.0,,2024-09-17
Deron Washington,Deron,Washington,28.0,,FS,DB,,,Active,49.0,73,211.0,Pittsburg State,5.0,,2024-09-17
Bryce Jones,Bryce,Jones,27.0,,CB,DB,,,Active,44.0,72,180.0,Akron,5.0,,2024-09-17
Justin Gilbert,Justin,Gilbert,28.0,,CB,DB,,,Inactive,24.0,"6'0""",202.0,Oklahoma State,6.0,,2024-09-17
Thomas Harper,Thomas,Harper,23.0,LV,DB,DB,FS,3.0,Active,34.0,70,195.0,Notre Dame,0.0,Out,2024-09-17
Rakeem Boyd,Rakeem,Boyd,,,RB,RB,,,Inactive,35.0,72,206.0,Arkansas,1.0,,2024-09-17
William Likely,William,Likely,27.0,,CB,DB,,,Active,33.0,67,175.0,Maryland,5.0,,2024-09-17
Sam Hartman,Sam,Hartman,25.0,WAS,QB,QB,QB,4.0,Active,15.0,73,209.0,Notre Dame,0.0,Out,2024-09-17
Randy Fichtner,Randy,Fichtner,,,,,,,Inactive,0.0,,,,0.0,,2024-09-17
Chris Steele,Chris,Steele,22.0,,DB,DB,,,Active,29.0,73,190.0,USC,1.0,,2024-09-17
Emany Johnson,Emany,Johnson,23.0,DAL,DB,DB,,,Active,33.0,74,218.0,Nevada,0.0,,2024-09-17
Bryce Hall,Bryce,Hall,26.0,TB,CB,DB,DB,,Inactive,34.0,73,202.0,Virginia,4.0,IR,2024-09-17
Nick Hampton,Nick,Hampton,24.0,LAR,LB,LB,ROLB,2.0,Active,31.0,75,250.0,Appalachian State,1.0,,2024-09-17
